,theta,p,pT,y,xsect_pT_y,error,log10theta,log10p,E,xsect_p_theta,xsect_log10theta_log10p,xsect_pT2_y
1240,0.11430284561740033,73.7139017034574,8.407373529885552,2.7234874903001267,2070971.8599793364,295.895,-0.9419429575264058,1.867549399172011,73.86678417493873,2066685.5586348497,92323492.24219325,123164.021
1241,0.1529355567832783,73.7139017034574,11.229581539544327,2.4876770068753653,1048092.9976004804,97.4719,-0.8154915314645663,1.867549399172011,73.86678417493873,1045923.7540141351,62515724.91396515,46666.6097
1242,0.20462556642641266,73.7139017034574,14.978705541282087,2.229359208704856,460419.27948506514,27.2316,-0.6890401054027269,1.867549399172011,73.86678417493873,459466.34728216013,36744672.336974524,15369.1278
1243,0.27378605287105134,73.7139017034574,19.930647084331124,1.9557150862977897,180818.6048958666,6.81568,-0.5625886793408865,1.867549399172011,73.86678417493873,180444.363678856,19307916.781429093,4536.19504
1244,0.3663217849841193,73.7139017034574,26.403117542184027,1.6712651307396003,65101.04954382877,1.59959,-0.43613725327904707,1.867549399172011,73.86678417493873,64966.30955938978,9301044.462332608,1232.82884
1245,0.4901332582385183,73.7139017034574,34.70033729386858,1.377739589493611,22163.236319266132,0.343323,-0.3096858272172067,1.867549399172011,73.86678417493873,22117.36495255698,4236706.055689864,319.351886
1246,0.655791221485558,73.7139017034574,44.94974426965853,1.0738981045971272,7478.121660184867,0.0819731,-0.1832344011553672,1.867549399172011,73.86678417493873,7462.644152476672,1912665.87177993,83.1831391
1247,0.8774391840356113,73.7139017034574,56.69371022322121,0.7544562678595372,2696.0185467459564,0.0232258,-0.05678297509352694,1.867549399172011,73.86678417493873,2690.4385829883645,922615.791980797,23.7770516
1248,1.1740009570988634,73.7139017034574,67.98664144924125,0.4066973212250728,1182.609051339642,0.00801273,0.06966845096831252,1.867549399172011,73.86678417493873,1180.1613991698007,541490.2399574457,8.69736338
1249,1.5707963267948966,73.7139017034574,73.7139017034574,0.0,814.2003643167355,0.00484022,0.19611987703015263,1.867549399172011,73.86678417493873,812.5152095429343,498806.555984447,5.52270566
1250,1e-06,88.17875393638442,8.817875393636972e-05,3.615093259493786,331.6300471834791,3125.09,-6.0,1.9453639574708446,88.30659740797078,331.1499388137906,0.15481748710904164,1880441.9
1251,1.3379855589526716e-06,88.17875393638442,0.0001179818993732882,3.615093259357463,441.0951423275807,3125.07,-5.8735485739381605,1.9453639574708446,88.30659740797078,440.4565588474075,0.27551791446452706,1869333.96
1252,1.7902053559658965e-06,88.17875393638442,0.00015785807757922997,3.6150932591133498,586.6836433189021,3125.08,-5.74709714787632,1.9453639574708446,88.30659740797078,585.8342880511602,0.4903125095476341,1858262.98
1253,2.3952689138420964e-06,88.17875393638442,0.00021121182816495105,3.6150932586763482,780.2896950367347,3125.09,-5.620645721814481,1.9453639574708446,88.30659740797078,779.1600518799987,0.8725218085530327,1847173.29
1254,3.2048352165289827e-06,88.17875393638442,0.0002825983759644847,3.615093257894006,1037.7317176024194,3125.08,-5.49419429575264,1.9453639574708446,88.30659740797078,1036.2293697683085,1.5525905427047568,1836053.93
1255,4.288023238538737e-06,88.17875393638442,0.0003781125460234468,3.61509325649351,1380.0743126871405,3125.09,-5.367742869690801,1.9453639574708446,88.30659740797078,1378.0763476838467,2.7626492136749277,1824951.76
1256,5.7373131696183086e-06,88.17875393638442,0.0005059091262369751,3.615093253986244,1835.3064700694483,3125.08,-5.241291443628961,1.9453639574708446,88.30659740797078,1832.6494551074225,4.915676488929852,1813869.7
1257,7.676442168138276e-06,88.17875393638442,0.0006768991050445024,3.615093249497816,2440.582737807525,3125.09,-5.114840017567121,1.9453639574708446,88.30659740797078,2437.0494506120785,8.746205130549969,1802767.0
1258,1.0270968765104371e-05,88.17875393638442,0.0009056812274105047,3.61509324146254,3245.345800713606,3125.07,-4.988388591505281,1.9453639574708446,88.30659740797078,3240.6474397095617,15.561036761530993,1791660.08
1259,1.3742407884163602e-05,88.17875393638442,0.0012117884032729499,3.6150932270777565,4315.343331513588,3125.08,-4.861937165443441,1.9453639574708446,88.30659740797078,4309.095910723056,27.684987389980993,1780568.01
1260,1.8387143294248238e-05,88.17875393638442,0.0016213553840451964,3.615093201326098,5737.880103782169,3125.08,-4.735485739381602,1.9453639574708446,88.30659740797078,5729.573244118843,49.25290729760426,1769470.21
1261,2.4601732198097645e-05,88.17875393638442,0.0021693500896860464,3.615093155225316,7629.035505219311,3125.08,-4.6090343133197615,1.9453639574708446,88.30659740797078,7617.990776824479,87.61963991862665,1758368.91
1262,3.291676240627562e-05,88.17875393638442,0.0029025590920812466,3.6150930726954713,10143.129109504061,3125.08,-4.482582887257922,1.9453639574708446,88.30659740797078,10128.444670558725,155.86737004264788,1747273.49
1263,4.4042152747073056e-05,88.17875393638442,0.003883582148657308,3.6150929249500665,13485.129055800233,3125.08,-4.356131461196082,1.9453639574708446,88.30659740797078,13465.606327443722,277.2616396521441,1736171.47
1264,5.892776436077148e-05,88.17875393638442,0.005196176830582441,3.6150926604556406,17927.560081673146,3125.08,-4.229680035134242,1.9453639574708446,88.30659740797078,17901.60594477751,493.18208556586507,1725072.17
1265,7.884449773607815e-05,88.17875393638442,0.006952409557904231,3.6150921869566486,23832.481336271183,3125.06,-4.103228609072403,1.9453639574708446,88.30659740797078,23797.978510435078,877.2165037886414,1713972.77
1266,0.00010549279937374939,88.17875393638442,0.00930222358078456,3.6150913392973845,31680.96461233373,3125.05,-3.9767771830105625,1.9453639574708446,88.30659740797078,31635.099358568674,1560.2254390481457,1702870.52
1267,0.00014114784213556825,88.17875393638442,0.012446240798996758,3.615089821816639,42112.22415213318,3125.03,-3.8503257569487226,1.9453639574708446,88.30659740797078,42051.25732643885,2774.9078377205083,1691764.8
1268,0.00018885377445472195,88.17875393638442,0.01665289040861074,3.615087105226137,55975.423811446824,3125.0,-3.7238743308868827,1.9453639574708446,88.30659740797078,55894.386915975556,4935.023225223815,1680651.9
1269,0.00025268362297412315,88.17875393638442,0.02228132677688255,3.615082242007976,74398.64064245774,3124.92,-3.597422904825043,1.9453639574708446,88.30659740797078,74290.93203652996,8776.234862984425,1669528.96
1270,0.0003380870385232187,88.17875393638442,0.0298120932110853,3.615073535966794,98879.97922555542,3124.81,-3.470971478763203,1.9453639574708446,88.30659740797078,98736.82842838246,15606.410605428555,1658387.06
1271,0.00045235557521314213,88.17875393638442,0.039888149598115395,3.615057950743565,131408.2436070651,3124.59,-3.3445200527013634,1.9453639574708446,88.30659740797078,131218.00090096035,27750.3649632294,1647209.07
1272,0.0006052452271469138,88.17875393638442,0.053369766697340636,3.6150300512055074,174622.4321489559,3124.21,-3.2180686266395235,1.9453639574708446,88.30659740797078,174369.62727822084,49339.81848716957,1635967.73
1273,0.000809809373547601,88.17875393638442,0.07140797368064389,3.614980109186969,232020.83320751434,3123.51,-3.0916172005776836,1.9453639574708446,88.30659740797078,231684.93136474973,87715.41506425662,1624614.32
1274,0.0010835132473112007,88.17875393638442,0.09554282932690247,3.614890715162652,308232.5503812734,3122.26,-2.9651657745158437,1.9453639574708446,88.30659740797078,307786.31510040746,155911.75729103858,1613059.57
1275,0.0014497250778363027,88.17875393638442,0.1278349061354254,3.6147307213690096,409362.30161208264,3120.07,-2.838714348454004,1.9453639574708446,88.30659740797078,408769.6584878901,277050.94676438323,1601136.63
1276,0.0019397112185965128,88.17875393638442,0.17104121099570768,3.6144444273000422,543416.5195129985,3116.12,-2.712262922392164,1.9453639574708446,88.30659740797078,542629.8030454739,492080.38688157557,1588554.35
1277,0.0025953055990206256,88.17875393638442,0.2288505568974981,3.613932310786913,720786.5468665197,3109.14,-2.585811496330324,1.9453639574708446,88.30659740797078,719743.0477721265,873295.6906885111,1574797.45
1278,0.00347248141255861,88.17875393638442,0.30619846866246336,3.6130168237698084,954689.8365145464,3097.04,-2.4593600702684846,1.9453639574708446,88.30659740797078,953307.7103023409,1547634.3849033336,1558939.6
1279,0.0046461299837349986,88.17875393638442,0.40968847863016333,3.6113820847318974,1261314.5397244985,3076.43,-2.3329086442066447,1.9453639574708446,88.30659740797078,1259488.5059483836,2735778.2919511828,1539358.08
1280,0.006216454823254445,88.17875393638442,0.5481557096839055,3.608468835630463,1658992.0932682354,3043.07,-2.2064572181448048,1.9453639574708446,88.30659740797078,1656590.332643739,4814522.707125192,1513248.94
1281,0.00831752678139614,88.17875393638442,0.733420690854187,3.603295500266234,2164960.085086642,2991.93,-2.080005792082965,1.9453639574708446,88.30659740797078,2161825.823080773,8406403.71411552,1475933.33
1282,0.01112873071971014,88.17875393638442,0.9812973520732982,3.5941656479222464,2786971.5405892427,2909.48,-1.953554366021125,1.9453639574708446,88.30659740797078,2782936.778437608,14479191.403430741,1420044.36
1283,0.014890080992445138,88.17875393638442,1.3129402703521227,3.5782260358371856,3506036.8349163057,2768.18,-1.8271029399592855,1.9453639574708446,88.30659740797078,3500961.0655667675,24371355.00546593,1335185.2
1284,0.0199227133395273,88.17875393638442,1.756643825693664,3.5509001211655935,4248843.642365261,2459.44,-1.7006515138974452,1.9453639574708446,88.30659740797078,4242692.494688739,39517128.276571415,1209364.01
1285,0.02665630274344128,88.17875393638442,2.350241206757762,3.5054223650394283,4859644.179389321,2351.45,-1.5742000878356057,1.9453639574708446,88.30659740797078,4852608.761868959,60474254.75084659,1033860.73
1286,0.03566574812579499,88.17875393638442,3.144294514670978,3.433083910958588,5101571.02521975,2061.78,-1.4477486617737654,1.9453639574708446,88.30659740797078,5094185.3646966135,84941791.59488492,811242.554
1287,0.047720255941557,88.17875393638442,4.206315829140011,3.3250444569743585,4735500.427191371,1546.35,-1.321297235711926,1.9453639574708446,88.30659740797078,4728644.735407507,105495706.690941,562903.574
1288,0.06384901331932882,88.17875393638442,5.626301828113795,3.1757148911015345,3720491.849424263,910.395,-1.1948458096500856,1.9453639574708446,88.30659740797078,3715105.608667621,110897227.61614375,330633.866
1289,0.08542905777463874,88.17875393638442,7.523868379054004,2.985608477442856,2408724.2526525334,412.668,-1.0683943835882461,1.9453639574708446,88.30659740797078,2405237.087711383,96063596.74187145,160072.195
1290,0.11430284561740033,88.17875393638442,10.057149392599284,2.7610071620826804,1295520.4990133953,146.846,-0.9419429575264058,1.9453639574708446,88.30659740797078,1293644.9444912344,69130145.82413864,64407.9375
1291,0.1529355567832783,88.17875393638442,13.433158257821542,2.5107559631099807,596774.9763668565,43.2747,-0.8154915314645663,1.9453639574708446,88.30659740797078,595911.0116465068,42607417.72939644,22212.7576
1292,0.20462556642641266,88.17875393638442,17.917971504529945,2.242996621575091,242816.26380720927,11.1526,-0.6890401054027269,1.9453639574708446,88.30659740797078,242464.73317378073,23195503.723057255,6775.77436
1293,0.27378605287105134,88.17875393638442,23.841630743034216,1.963557056743539,89341.37286126298,2.63724,-0.5625886793408865,1.9453639574708446,88.30659740797078,89212.03132169365,11419052.869584035,1873.64224
1294,0.3663217849841193,88.17875393638442,31.584191734575917,1.6756859772869923,30414.06950593542,0.572538,-0.43613725327904707,1.9453639574708446,88.30659740797078,30370.038365059903,5201198.4222232755,481.476141
1295,0.4901332582385183,88.17875393638442,41.509571912974266,1.3801857417431134,9889.210691693499,0.12389,-0.3096858272172067,1.9453639574708446,88.30659740797078,9874.89385622271,2262777.9800712396,119.119642
1296,0.655791221485558,88.17875393638442,53.77021630740407,1.0752160190801714,3220.08462558104,0.0293192,-0.1832344011553672,1.9453639574708446,88.30659740797078,3215.4228357553684,985823.1796221079,29.9430135
1297,0.8774391840356113,88.17875393638442,67.81869644650256,0.7551266753227672,1131.0910594752097,0.00804889,-0.05678297509352694,1.9453639574708446,88.30659740797078,1129.4535531963124,463319.66728296585,8.33907992
1298,1.1740009570988634,88.17875393638442,81.32763547683241,0.40697972578693675,487.4240032737897,0.00274587,0.06966845096831252,1.9453639574708446,88.30659740797078,486.71834844683315,267141.58878550486,2.99666897
1299,1.5707963267948966,88.17875393638442,88.17875393638442,0.0,333.03702738134336,0.00163438,0.19611987703015263,1.9453639574708446,88.30659740797078,332.554882094389,244218.48894820292,1.8884199
1300,1e-06,105.48203888397265,0.00010548203888395506,3.7940498239879177,370.9164930249374,2956.65,-6.0,2.023178515769678,105.58893420770909,370.54098740118434,0.20722690830118898,1758197.4
1301,1.3379855589526716e-06,105.48203888397265,0.00014113344475559747,3.794049823792926,493.34996194807286,2956.67,-5.8735485739381605,2.023178515769678,105.58893420770909,492.8505080583872,0.3687877849249416,1747813.79
1302,1.7902053559658965e-06,105.48203888397265,0.00018883451096818993,3.7940498234437774,656.1817181909125,2956.67,-5.74709714787632,2.023178515769678,105.58893420770909,655.5174179238223,0.6562918048355165,1737451.79
